policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1001,District Primary Education Reform 4,Higher Education,Uttar Pradesh,2018,Teachers,Proposed,3.16,"Ministry of Education, Local NGOs",0.127,This policy aims to improve infrastructure in Higher Education through teacher training programs in Uttar Pradesh.,Increase reach by 37% in 5 years.,This policy aims to improve infrastructure in Higher Education through teacher training programs in Uttar Pradesh. Goals: Increase reach by 37% in 5 years.
P1002,National Early Childhood Education Reform 26,Early Childhood,West Bengal,2018,Urban Students,Under Review,3.91,"State Education Department, Private Partners",0.721,This policy aims to improve teacher quality in Early Childhood through digital device distribution in West Bengal.,Increase reach by 14% in 2 years.,This policy aims to improve teacher quality in Early Childhood through digital device distribution in West Bengal. Goals: Increase reach by 14% in 2 years.
P1003,State Primary Education Reform 12,Vocational,Maharashtra,2020,All,Under Review,84.57,"Central Government, Donors",0.577,This policy aims to improve digital access in Vocational through grants to schools in Maharashtra.,Increase reach by 40% in 3 years.,This policy aims to improve digital access in Vocational through grants to schools in Maharashtra. Goals: Increase reach by 40% in 3 years.
P1004,District Early Childhood Education Reform 47,Early Childhood,Uttar Pradesh,2016,Students,Implemented,98.82,"State Education Department, Private Partners",0.871,This policy aims to improve digital access in Early Childhood through digital device distribution in Uttar Pradesh.,Increase reach by 34% in 3 years.,This policy aims to improve digital access in Early Childhood through digital device distribution in Uttar Pradesh. Goals: Increase reach by 34% in 3 years.
P1005,National Higher Education Education Reform 46,Secondary,Delhi,2025,Disadvantaged Groups,Proposed,13.01,"State Education Department, Private Partners",0.245,This policy aims to improve digital access in Secondary through digital device distribution in Delhi.,Increase reach by 40% in 2 years.,This policy aims to improve digital access in Secondary through digital device distribution in Delhi. Goals: Increase reach by 40% in 2 years.
P1006,District Higher Education Education Reform 99,Primary,Uttar Pradesh,2015,All,Under Review,0.21,"State Education Department, Private Partners",0.913,This policy aims to improve early childhood development in Primary through public-private partnerships in Uttar Pradesh.,Increase reach by 25% in 2 years.,This policy aims to improve early childhood development in Primary through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 25% in 2 years.
P1007,District Vocational Education Reform 51,Vocational,Tamil Nadu,2019,Teachers,Implemented,79.76,"Central Government, Donors",0.899,This policy aims to improve digital access in Vocational through digital device distribution in Tamil Nadu.,Increase reach by 19% in 2 years.,This policy aims to improve digital access in Vocational through digital device distribution in Tamil Nadu. Goals: Increase reach by 19% in 2 years.
P1008,District Vocational Education Reform 12,Primary,Maharashtra,2017,Disadvantaged Groups,Implemented,0.34,"Central Government, Donors",0.44,This policy aims to improve digital access in Primary through scholarship schemes in Maharashtra.,Increase reach by 21% in 5 years.,This policy aims to improve digital access in Primary through scholarship schemes in Maharashtra. Goals: Increase reach by 21% in 5 years.
P1009,National Primary Education Reform 88,Early Childhood,Delhi,2025,Rural Students,Proposed,54.78,"Central Government, Donors",0.103,This policy aims to improve vocational skills in Early Childhood through public-private partnerships in Delhi.,Increase reach by 21% in 5 years.,This policy aims to improve vocational skills in Early Childhood through public-private partnerships in Delhi. Goals: Increase reach by 21% in 5 years.
P1010,National Early Childhood Education Reform 14,Higher Education,Rajasthan,2024,Teachers,Implemented,81.0,"EdTech Companies, Universities",0.949,This policy aims to improve early childhood development in Higher Education through grants to schools in Rajasthan.,Increase reach by 25% in 4 years.,This policy aims to improve early childhood development in Higher Education through grants to schools in Rajasthan. Goals: Increase reach by 25% in 4 years.
P1011,National Primary Education Reform 47,Higher Education,Uttar Pradesh,2015,Teachers,Proposed,3.79,"Ministry of Education, Local NGOs",0.97,This policy aims to improve early childhood development in Higher Education through teacher training programs in Uttar Pradesh.,Increase reach by 13% in 4 years.,This policy aims to improve early childhood development in Higher Education through teacher training programs in Uttar Pradesh. Goals: Increase reach by 13% in 4 years.
P1012,District Secondary Education Reform 34,Early Childhood,Punjab,2021,Teachers,Implemented,51.92,"Teachers' Unions, Community Leaders",0.49,This policy aims to improve early childhood development in Early Childhood through curriculum reform in Punjab.,Increase reach by 12% in 2 years.,This policy aims to improve early childhood development in Early Childhood through curriculum reform in Punjab. Goals: Increase reach by 12% in 2 years.
P1013,National Primary Education Reform 44,Primary,Punjab,2023,Teachers,Implemented,0.82,"Ministry of Education, Local NGOs",0.304,This policy aims to improve learning outcomes in Primary through digital device distribution in Punjab.,Increase reach by 9% in 5 years.,This policy aims to improve learning outcomes in Primary through digital device distribution in Punjab. Goals: Increase reach by 9% in 5 years.
P1014,National Higher Education Education Reform 86,Vocational,Uttar Pradesh,2023,Teachers,Pilot,16.77,"Central Government, Donors",0.269,This policy aims to improve learning outcomes in Vocational through public-private partnerships in Uttar Pradesh.,Increase reach by 32% in 3 years.,This policy aims to improve learning outcomes in Vocational through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 32% in 3 years.
P1015,State Vocational Education Reform 60,Primary,Maharashtra,2015,Urban Students,Under Review,1.62,"State Education Department, Private Partners",0.577,This policy aims to improve infrastructure in Primary through curriculum reform in Maharashtra.,Increase reach by 16% in 3 years.,This policy aims to improve infrastructure in Primary through curriculum reform in Maharashtra. Goals: Increase reach by 16% in 3 years.
P1016,State Secondary Education Reform 10,Vocational,Rajasthan,2016,Students,Proposed,4.67,"State Education Department, Private Partners",0.248,This policy aims to improve digital access in Vocational through curriculum reform in Rajasthan.,Increase reach by 18% in 4 years.,This policy aims to improve digital access in Vocational through curriculum reform in Rajasthan. Goals: Increase reach by 18% in 4 years.
P1017,National Secondary Education Reform 49,Primary,West Bengal,2019,All,Pilot,53.84,"EdTech Companies, Universities",0.689,This policy aims to improve digital access in Primary through teacher training programs in West Bengal.,Increase reach by 17% in 3 years.,This policy aims to improve digital access in Primary through teacher training programs in West Bengal. Goals: Increase reach by 17% in 3 years.
P1018,National Primary Education Reform 75,Early Childhood,Karnataka,2020,Students,Proposed,0.3,"EdTech Companies, Universities",0.24,This policy aims to improve early childhood development in Early Childhood through grants to schools in Karnataka.,Increase reach by 16% in 1 years.,This policy aims to improve early childhood development in Early Childhood through grants to schools in Karnataka. Goals: Increase reach by 16% in 1 years.
P1019,District Primary Education Reform 87,Secondary,West Bengal,2016,Women,Implemented,3.29,"Central Government, Donors",0.685,This policy aims to improve early childhood development in Secondary through scholarship schemes in West Bengal.,Increase reach by 25% in 3 years.,This policy aims to improve early childhood development in Secondary through scholarship schemes in West Bengal. Goals: Increase reach by 25% in 3 years.
P1020,National Higher Education Education Reform 31,Higher Education,West Bengal,2017,Disadvantaged Groups,Under Review,0.23,"Ministry of Education, Local NGOs",0.108,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal.,Increase reach by 11% in 1 years.,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal. Goals: Increase reach by 11% in 1 years.
P1021,District Secondary Education Reform 65,Higher Education,Tamil Nadu,2020,Students,Implemented,42.8,"Central Government, Donors",0.842,This policy aims to improve vocational skills in Higher Education through digital device distribution in Tamil Nadu.,Increase reach by 38% in 1 years.,This policy aims to improve vocational skills in Higher Education through digital device distribution in Tamil Nadu. Goals: Increase reach by 38% in 1 years.
P1022,District Early Childhood Education Reform 39,Primary,Tamil Nadu,2019,Students,Proposed,9.09,"EdTech Companies, Universities",0.287,This policy aims to improve teacher quality in Primary through teacher training programs in Tamil Nadu.,Increase reach by 21% in 5 years.,This policy aims to improve teacher quality in Primary through teacher training programs in Tamil Nadu. Goals: Increase reach by 21% in 5 years.
P1023,State Higher Education Education Reform 7,Primary,West Bengal,2019,Students,Proposed,81.69,"Teachers' Unions, Community Leaders",0.244,This policy aims to improve digital access in Primary through scholarship schemes in West Bengal.,Increase reach by 32% in 5 years.,This policy aims to improve digital access in Primary through scholarship schemes in West Bengal. Goals: Increase reach by 32% in 5 years.
P1024,National Primary Education Reform 10,Secondary,Rajasthan,2015,All,Under Review,11.45,"Ministry of Education, Local NGOs",0.374,This policy aims to improve learning outcomes in Secondary through digital device distribution in Rajasthan.,Increase reach by 18% in 2 years.,This policy aims to improve learning outcomes in Secondary through digital device distribution in Rajasthan. Goals: Increase reach by 18% in 2 years.
P1025,District Primary Education Reform 46,Early Childhood,West Bengal,2024,Disadvantaged Groups,Implemented,17.97,"State Education Department, Private Partners",0.884,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in West Bengal.,Increase reach by 26% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in West Bengal. Goals: Increase reach by 26% in 4 years.
P1026,District Secondary Education Reform 35,Secondary,Maharashtra,2021,All,Proposed,0.19,"Central Government, Donors",0.411,This policy aims to improve infrastructure in Secondary through teacher training programs in Maharashtra.,Increase reach by 6% in 2 years.,This policy aims to improve infrastructure in Secondary through teacher training programs in Maharashtra. Goals: Increase reach by 6% in 2 years.
