policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1250,State Early Childhood Education Reform 80,Vocational,Punjab,2016,Students,Under Review,43.88,"Ministry of Education, Local NGOs",0.529,This policy aims to improve teacher quality in Vocational through digital device distribution in Punjab.,Increase reach by 25% in 3 years.,This policy aims to improve teacher quality in Vocational through digital device distribution in Punjab. Goals: Increase reach by 25% in 3 years.,"state early childhood education reform 80. this policy aims to improve teacher quality in vocational through digital device distribution in punjab. goals: increase reach by 25% in 3 years.. stakeholders: ministry of education, local ngos"
P1434,State Secondary Education Reform 98,Primary,Punjab,2017,Rural Students,Proposed,1.73,"Central Government, Donors",0.25,This policy aims to improve teacher quality in Primary through scholarship schemes in Punjab.,Increase reach by 15% in 4 years.,This policy aims to improve teacher quality in Primary through scholarship schemes in Punjab. Goals: Increase reach by 15% in 4 years.,"state secondary education reform 98. this policy aims to improve teacher quality in primary through scholarship schemes in punjab. goals: increase reach by 15% in 4 years.. stakeholders: central government, donors"
P1020,National Higher Education Education Reform 31,Higher Education,West Bengal,2017,Disadvantaged Groups,Under Review,0.23,"Ministry of Education, Local NGOs",0.108,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal.,Increase reach by 11% in 1 years.,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal. Goals: Increase reach by 11% in 1 years.,"national higher education education reform 31. this policy aims to improve early childhood development in higher education through scholarship schemes in west bengal. goals: increase reach by 11% in 1 years.. stakeholders: ministry of education, local ngos"
P1323,District Primary Education Reform 98,Early Childhood,Karnataka,2022,Rural Students,Under Review,0.46,"EdTech Companies, Universities",0.873,This policy aims to improve digital access in Early Childhood through teacher training programs in Karnataka.,Increase reach by 37% in 3 years.,This policy aims to improve digital access in Early Childhood through teacher training programs in Karnataka. Goals: Increase reach by 37% in 3 years.,"district primary education reform 98. this policy aims to improve digital access in early childhood through teacher training programs in karnataka. goals: increase reach by 37% in 3 years.. stakeholders: edtech companies, universities"
P1333,National Primary Education Reform 17,Secondary,Delhi,2016,Teachers,Implemented,0.14,"Ministry of Education, Local NGOs",0.934,This policy aims to improve digital access in Secondary through scholarship schemes in Delhi.,Increase reach by 8% in 1 years.,This policy aims to improve digital access in Secondary through scholarship schemes in Delhi. Goals: Increase reach by 8% in 1 years.,"national primary education reform 17. this policy aims to improve digital access in secondary through scholarship schemes in delhi. goals: increase reach by 8% in 1 years.. stakeholders: ministry of education, local ngos"
P1057,National Secondary Education Reform 87,Early Childhood,Punjab,2015,All,Under Review,3.93,"State Education Department, Private Partners",0.519,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Punjab.,Increase reach by 22% in 2 years.,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Punjab. Goals: Increase reach by 22% in 2 years.,"national secondary education reform 87. this policy aims to improve vocational skills in early childhood through curriculum reform in punjab. goals: increase reach by 22% in 2 years.. stakeholders: state education department, private partners"
P1302,District Early Childhood Education Reform 82,Higher Education,Delhi,2024,Women,Implemented,0.36,"Teachers' Unions, Community Leaders",0.623,This policy aims to improve learning outcomes in Higher Education through scholarship schemes in Delhi.,Increase reach by 21% in 4 years.,This policy aims to improve learning outcomes in Higher Education through scholarship schemes in Delhi. Goals: Increase reach by 21% in 4 years.,"district early childhood education reform 82. this policy aims to improve learning outcomes in higher education through scholarship schemes in delhi. goals: increase reach by 21% in 4 years.. stakeholders: teachers' unions, community leaders"
P1230,National Secondary Education Reform 78,Higher Education,Punjab,2018,Disadvantaged Groups,Proposed,0.16,"Ministry of Education, Local NGOs",0.312,This policy aims to improve teacher quality in Higher Education through teacher training programs in Punjab.,Increase reach by 10% in 3 years.,This policy aims to improve teacher quality in Higher Education through teacher training programs in Punjab. Goals: Increase reach by 10% in 3 years.,"national secondary education reform 78. this policy aims to improve teacher quality in higher education through teacher training programs in punjab. goals: increase reach by 10% in 3 years.. stakeholders: ministry of education, local ngos"
P1332,National Higher Education Education Reform 41,Higher Education,Delhi,2024,Disadvantaged Groups,Pilot,91.02,"Teachers' Unions, Community Leaders",0.766,This policy aims to improve early childhood development in Higher Education through curriculum reform in Delhi.,Increase reach by 31% in 2 years.,This policy aims to improve early childhood development in Higher Education through curriculum reform in Delhi. Goals: Increase reach by 31% in 2 years.,"national higher education education reform 41. this policy aims to improve early childhood development in higher education through curriculum reform in delhi. goals: increase reach by 31% in 2 years.. stakeholders: teachers' unions, community leaders"
P1133,State Early Childhood Education Reform 59,Secondary,Punjab,2023,Teachers,Under Review,33.0,"EdTech Companies, Universities",0.758,This policy aims to improve teacher quality in Secondary through scholarship schemes in Punjab.,Increase reach by 26% in 5 years.,This policy aims to improve teacher quality in Secondary through scholarship schemes in Punjab. Goals: Increase reach by 26% in 5 years.,"state early childhood education reform 59. this policy aims to improve teacher quality in secondary through scholarship schemes in punjab. goals: increase reach by 26% in 5 years.. stakeholders: edtech companies, universities"
